name,index year,overall score,property rights,freedom from corruption,fiscal freedom,government spending,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom
Vanuatu,2005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Venezuela ,2005,45.2,30,24,75.8,80.2,55,32.3,51.9,62.4,10,30
Vietnam,2005,48.1,10,24,74.5,79.1,40,64.1,79.1,50.2,30,30
Yemen,2005,53.8,30,26,74.9,66.5,55,76.8,68.8,59.8,50,30
Zambia,2005,55,50,25,68.7,69.7,55,52.6,60.6,68.2,50,50
Zimbabwe,2005,35.2,10,23,66.1,74.4,55,42.8,0,61,10,10
Afghanistan,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2004,58.5,30,25,83.6,72.3,55,N/A,79.6,61.4,70,50
Algeria,2004,58.1,30,50,74.1,62.4,70,N/A,81.1,55,70,30
Angola,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Argentina,2004,53.9,30,28,72.4,78.8,70,N/A,64,61.6,50,30
Armenia,2004,70.3,50,25,90,88.7,55,N/A,84.5,80,70,90
Australia,2004,77.9,90,86,59.6,60.5,85,N/A,83.2,77.2,70,90
Austria,2004,67.6,90,78,43.5,21,70,N/A,85.9,79.8,70,70
Azerbaijan,2004,53.4,30,20,78.3,87.9,55,N/A,80.2,69.2,30,30
Bahrain,2004,75.1,60,70,99.5,76.6,85,N/A,84.7,69.6,50,80
Bangladesh ,2004,50,30,12,77.2,94.1,40,N/A,78.9,38,50,30
Barbados,2004,69.4,90,70,59.8,58.9,85,N/A,88.9,52,50,70
Belarus,2004,43.1,30,48,75.4,36.8,40,N/A,31.6,65.8,30,30
Belgium,2004,68.7,90,71,43.1,23.5,70,N/A,81.3,79.8,90,70
Belize,2004,62.8,50,50,84.1,64.7,70,N/A,86.5,60,50,50
Benin,2004,54.6,30,30,52.4,87.6,55,N/A,79,57,50,50
Bhutan,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,2004,64.5,30,22,88.9,69.9,55,N/A,87.5,67,90,70
Bosnia and Herzegovina,2004,44.7,10,10,70.1,18.3,40,N/A,82.4,71.8,30,70
Botswana,2004,69.9,70,64,75.9,54.6,85,N/A,77.4,62.2,70,70
Brazil,2004,62,50,40,90.2,68.1,70,N/A,77.2,62.8,50,50
Bulgaria,2004,59.2,30,40,81.1,64.5,55,N/A,78.7,63.2,50,70
Burkina Faso,2004,58,30,30,77.7,84.9,55,N/A,79.7,64.8,50,50
Burma,2004,43.6,10,10,81.9,98.7,40,N/A,41.6,70.4,10,30
Burundi,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cambodia,2004,61.1,30,30,91.4,91,55,N/A,80.8,52,50,70
Cameroon,2004,52.3,30,22,50.4,89.4,55,N/A,75.9,48.2,50,50
Canada,2004,75.3,90,90,73.6,50.5,85,N/A,85.4,83.2,50,70
Cape Verde,2004,58.1,50,30,64,69.7,85,N/A,86.4,38,50,50
Central African Republic,2004,57.5,30,30,65.5,89.5,55,N/A,79.5,48.2,70,50
Chad,2004,53.1,30,10,46,90.3,55,N/A,78.4,48.2,50,70
Chile,2004,76.9,90,75,78.5,81.5,70,N/A,84.2,73,70,70
China,2004,52.5,30,35,66.4,88.4,55,N/A,86.4,51.4,30,30
Colombia,2004,61.2,30,36,66.7,66.9,70,N/A,78.3,63,70,70
Comoros,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Costa Rica ,2004,66.4,50,45,83,78.1,70,N/A,75.1,76.4,70,50
C̫te d'Ivoire ,2004,57.8,30,27,52.2,91.7,55,N/A,78.4,65.8,50,70
Croatia,2004,53.1,30,38,67.3,22.9,55,N/A,79.5,65.4,50,70
Cuba,2004,34.4,10,10,49.9,14.8,55,N/A,66.4,63.6,30,10
Cyprus,2004,74.1,90,70,81.4,56.2,85,N/A,84.6,79.4,50,70
Czech Republic,2004,67,70,37,67,40.9,70,N/A,84.6,73.4,70,90
Democratic Republic of Congo,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Denmark,2004,72.4,90,95,33.6,8.3,100,N/A,85.1,79.8,70,90
Djibouti,2004,55.6,30,30,80.5,73.5,55,N/A,88.7,43,50,50
Dominica,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominican Republic,2004,54.6,30,35,85,92.8,55,N/A,69.1,44.4,50,30
Ecuador,2004,54.4,30,22,85.4,76.8,55,N/A,57.6,62.4,50,50
Egypt,2004,55.5,50,34,66.1,76.8,55,N/A,79.8,57.4,50,30
El Salvador ,2004,71.2,50,34,83.6,90.8,85,N/A,85.2,72.2,70,70
Equatorial Guinea,2004,53.3,30,10,89.7,99.3,55,N/A,67.5,48.2,50,30
Eritrea,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Estonia,2004,77.4,70,56,83.8,55.5,85,N/A,82.1,84.2,90,90
Ethiopia,2004,54.5,30,35,70.2,73.4,55,N/A,84.3,63,50,30
Fiji,2004,58,30,30,78.3,71.7,70,N/A,81.8,60.2,30,70
Finland,2004,73.4,90,97,57.5,25,85,N/A,86,79.8,70,70
France,2004,60.9,70,63,44.3,14.5,70,N/A,86.4,79.8,70,50
Gabon,2004,57.1,50,30,61.5,84.1,55,N/A,85.3,48.2,50,50
Georgia,2004,58.9,30,24,90.6,90.1,55,N/A,75.5,65.2,50,50
Germany,2004,69.5,90,73,56.4,29.4,70,N/A,87.1,79.8,90,50
Ghana,2004,59.1,50,39,77.5,67.9,70,N/A,61.6,65.6,50,50
Greece,2004,59.1,50,42,58.4,53.2,70,N/A,78.1,79.8,50,50
Guatemala ,2004,59.6,30,25,79.8,95,55,N/A,77.4,73.8,30,70
Guinea,2004,56.1,30,25,71.2,89.1,55,N/A,82.5,52.2,30,70
Guinea-Bissau,2004,42.6,10,10,82.7,46.8,40,N/A,77.7,56.4,50,10
Guyana,2004,53,50,30,60.9,14.5,55,N/A,81.1,65.2,50,70
Haiti,2004,51.2,10,22,78.2,96.9,40,N/A,68.7,65,30,50
Honduras ,2004,55.3,30,27,84.9,79.7,55,N/A,71.5,70,30,50
Hong Kong,2004,90,90,82,93.6,89.5,100,N/A,84.6,90,90,90
Hungary ,2004,62.7,70,49,65.6,20.1,70,N/A,73.7,76,70,70
Iceland,2004,72.1,90,94,58.7,37.9,85,N/A,85.2,78.2,70,50
India,2004,51.5,50,27,74.2,77.1,55,N/A,77,23.6,50,30
Indonesia,2004,52.1,30,19,77.5,84.4,55,N/A,68.9,74.2,30,30
Iran,2004,42.8,10,10,64.2,80.2,40,N/A,61.7,78.8,30,10
Iraq,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,2004,80.3,90,69,71.8,66.3,85,N/A,81.1,79.8,90,90
Israel,2004,61.4,70,73,52.7,7.6,70,N/A,82.2,77,70,50
Italy,2004,64.2,70,52,49.7,31.7,70,N/A,84.8,79.8,70,70
Jamaica ,2004,66.7,50,40,76.7,61.3,70,N/A,78,64.4,90,70
Japan,2004,64.3,70,71,62.4,55.1,70,N/A,89.2,80.8,50,30
Jordan,2004,66.1,50,45,78.9,66.3,70,N/A,86.7,58,70,70
Kazakhstan,2004,49.7,30,23,77,84.1,55,N/A,73.1,65,10,30
Kenya,2004,57.7,50,19,78.9,79.2,55,N/A,82.9,54,50,50
Kiribati,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kuwait,2004,63.6,50,70,99.9,42.2,70,N/A,83.2,77,30,50
Kyrgyz Republic ,2004,58,30,22,85.5,84.4,55,N/A,76.2,69.4,50,50
Laos,2004,42,10,10,70.6,87.1,40,N/A,64,56.6,30,10
Latvia,2004,67.4,50,37,82.2,62.2,70,N/A,85.8,79.8,70,70
Lebanon,2004,56.9,30,10,92.4,60.3,55,N/A,83.5,61,50,70
Lesotho,2004,50.3,50,30,63.5,41.7,55,N/A,70,62.2,30,50
Liberia,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Libya,2004,31.5,10,10,32.3,68.1,40,N/A,61,42.4,10,10
Liechtenstein,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2004,72.4,50,48,82.8,70.6,70,N/A,90.1,80.2,70,90
Luxembourg,2004,78.9,90,90,58.9,41.4,85,N/A,85.3,79.8,90,90
Macau,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Macedonia,2004,56.8,30,33,84.6,48.1,55,N/A,83.3,57.4,50,70
Madagascar,2004,60.9,50,17,74.6,89.8,70,N/A,71.9,74.4,50,50
Malawi,2004,53.6,50,29,69.4,67.1,55,N/A,63.1,68.6,50,30
Malaysia ,2004,59.9,50,49,80.9,74.2,70,N/A,81.8,73.4,30,30
Maldives,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mali,2004,56.6,50,10,70.2,81.8,70,N/A,81.5,66.2,50,30
Malta,2004,63.3,90,50,63.1,11.5,85,N/A,84.6,65.4,50,70
Mauritania,2004,61.8,30,30,76.2,80.5,55,N/A,77.3,67,70,70
Mauritius,2004,64.3,70,45,85,82.9,70,N/A,69.6,36,50,70
Mexico,2004,66,50,36,73.3,83.1,70,N/A,79.8,81.6,50,70
Micronesia,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Moldova,2004,57.1,50,21,81.5,74.2,55,N/A,71.3,80.4,30,50
Mongolia,2004,56.5,50,43,59.4,43.8,55,N/A,82,75,50,50
Montenegro,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Morocco,2004,56.7,30,37,63.2,70.4,70,N/A,85.7,34.2,70,50
Mozambique ,2004,57.2,30,22,80.9,63.9,55,N/A,65.9,57.4,70,70
Namibia,2004,62.4,70,57,67.1,61.3,70,N/A,74.4,62.2,50,50
Nepal,2004,51.2,30,10,88.9,88.6,55,N/A,77.3,51.4,30,30
New Zealand,2004,81.5,90,95,62.8,55.8,85,N/A,84.7,80.2,90,90
Nicaragua ,2004,61.4,30,25,85.6,82.6,55,N/A,75.1,79,50,70
Niger,2004,54.6,30,10,66.7,91.6,55,N/A,79.1,58.6,50,50
Nigeria,2004,49.2,30,16,82.1,68.9,55,N/A,66.3,45,50,30
North Korea,2004,8.9,10,10,0,0,40,N/A,0,0,10,10
Norway,2004,66.2,90,85,50.8,31.7,70,N/A,86.3,81.8,50,50
Oman,2004,66.9,50,70,98.5,58.3,70,N/A,79.2,76,50,50
Pakistan ,2004,54.9,30,26,68.2,86.3,70,N/A,78.4,55.6,50,30
Panama ,2004,65.3,30,30,81.2,76.5,70,N/A,89.1,70.8,70,70
Papua New Guinea,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paraguay ,2004,56.7,30,17,90,87.8,55,N/A,70.4,59.8,50,50
Peru,2004,64.7,30,40,81.5,87.5,55,N/A,88.8,59.8,70,70
Poland,2004,58.7,50,40,64.9,35.1,70,N/A,78.1,70.4,50,70
Portugal,2004,64.9,70,63,62.3,36.2,70,N/A,82.9,79.8,70,50
Qatar,2004,66.5,50,70,87.5,69.7,55,N/A,90,76.6,50,50
Republic of Congo ,2004,45.9,30,10,59.4,70,55,N/A,80.2,48.2,30,30
Romania,2004,50,30,26,69.9,74.8,55,N/A,56.8,57.6,30,50
Russia,2004,52.8,30,27,91.6,65.1,55,N/A,63.4,63.2,50,30
Rwanda,2004,53.3,30,10,66.9,89.5,55,N/A,79.7,68.8,30,50
Saint Lucia,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saint Vincent and the Grenadines,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Samoa,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ṣo Tom̩ and Pr�_ncipe ,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Saudi Arabia,2004,60.4,50,50,99.4,58.5,70,N/A,91.9,64,30,30
Senegal,2004,58.9,50,31,59.8,85.9,55,N/A,80.4,68,50,50
Serbia ,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Seychelles,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sierra Leone,2004,43.6,10,10,69.9,72.8,40,N/A,86.6,43,30,30
Singapore,2004,88.9,90,93,87.8,91.1,100,N/A,93,85,90,70
Slovakia,2004,64.6,50,37,68.5,42.4,70,N/A,80.8,72.8,70,90
Slovenia,2004,59.2,50,60,54.4,40.6,85,N/A,77.3,65.2,50,50
Solomon Islands,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
South Africa,2004,66.3,50,48,69.6,79.7,70,N/A,77.1,62.2,70,70
South Korea,2004,67.8,70,45,73.9,80.8,70,N/A,84,66.6,70,50
Spain,2004,68.9,70,71,52.9,52.7,70,N/A,83.6,79.8,70,70
Sri Lanka,2004,61.6,50,37,79.9,77.3,70,N/A,69.6,70.6,50,50
Sudan,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Suriname,2004,47.9,50,10,61.4,62.2,55,N/A,58.1,54.4,50,30
Swaziland,2004,58.6,50,30,74,71.7,70,N/A,69.7,62.2,50,50
Sweden,2004,70.1,90,93,32,0,70,N/A,85.8,79.8,90,90
Switzerland,2004,79.5,90,85,80.6,55.8,70,N/A,89.4,85,70,90
Syria,2004,40.6,30,10,62.7,72.1,55,N/A,80.5,15,30,10
Taiwan,2004,69.6,70,56,76.1,82.3,70,N/A,94.2,78,50,50
Tajikistan,2004,48.7,30,10,85,93,55,N/A,56.3,69,30,10
Tanzania,2004,60.1,30,27,80.9,92,55,N/A,80.1,56,50,70
Thailand ,2004,63.7,50,32,75.5,91.1,70,N/A,88.9,65.6,50,50
The Bahamas,2004,72.1,90,70,97.1,87.1,85,N/A,82.5,17,50,70
The Gambia,2004,55.3,50,10,73.8,79.7,55,N/A,73.4,56.2,50,50
The Netherlands,2004,74.5,90,90,45.2,32.3,70,N/A,83.2,79.8,90,90
The Philippines,2004,59.1,30,26,77.7,88.8,55,N/A,77.3,77,50,50
Timor-Leste,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Togo,2004,47,30,10,52.4,92,40,N/A,78.7,59.8,30,30
Tonga,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Trinidad and Tobago,2004,71.3,70,49,71.7,83.1,70,N/A,81.7,75.8,70,70
Tunisia,2004,58.4,50,48,70.8,69.3,70,N/A,84.9,32.4,50,50
Turkey,2004,52.8,50,32,60.8,56.9,55,N/A,46.1,74.2,50,50
Turkmenistan,2004,50.7,30,10,89.9,80.8,55,N/A,65.6,85,30,10
Uganda,2004,64.1,50,21,80.7,88.2,55,N/A,90.3,71.2,50,70
Ukraine,2004,53.7,30,24,67.5,77.8,55,N/A,74.5,74.4,30,50
United Arab Emirates,2004,67.2,70,70,99.9,58,70,N/A,79.5,77,50,30
United Kingdom,2004,77.7,90,87,61.2,50.1,85,N/A,86.6,79.8,70,90
United States,2004,78.7,90,77,67.2,62.2,85,N/A,85.9,81.4,70,90
Uruguay ,2004,66.7,70,51,83.5,60,70,N/A,74.2,71.8,70,50
Uzbekistan,2004,39.1,30,29,72.2,76.3,40,N/A,42.3,22,30,10
Vanuatu,2004,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Venezuela ,2004,46.7,30,25,75.6,79.2,55,N/A,57.1,58,10,30
Vietnam,2004,46.1,10,24,63.4,82.1,40,N/A,80.4,54.8,30,30
Yemen,2004,50.5,30,10,75,66.5,55,N/A,68.1,70.2,50,30
Zambia,2004,54.9,50,26,75.3,69.1,55,N/A,60.1,58.8,50,50
Zimbabwe,2004,34.4,10,27,67.5,63.5,55,N/A,13.1,53.8,10,10
Afghanistan,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Albania,2003,56.8,30,10,83.8,70.4,55,N/A,85.8,56.2,70,50
Algeria,2003,57.7,30,50,65.2,74.9,70,N/A,78.9,50.4,70,30
Angola,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Argentina,2003,56.3,30,35,72.2,76.8,70,N/A,88.5,54,50,30
Armenia,2003,67.3,50,25,88.9,84.1,55,N/A,81.7,81.2,70,70
Australia,2003,77.4,90,85,58.6,58.9,85,N/A,82.1,77,70,90
Austria,2003,67.6,90,78,45.3,18.6,70,N/A,85.1,81.4,70,70
Azerbaijan,2003,54.1,30,20,78.4,87,55,N/A,84.8,71.6,30,30
Bahrain,2003,76.3,70,70,99.5,79.2,85,N/A,83.4,69.6,50,80
Bangladesh ,2003,49.3,30,4,77.2,94,40,N/A,80.8,38,50,30
Barbados,2003,71.3,90,70,60.4,64.7,85,N/A,85.1,66.8,50,70
Belarus,2003,39.7,30,41,65.3,41.1,40,N/A,14.1,66,30,30
Belgium,2003,68.1,90,66,33.7,26.8,70,N/A,85.2,81.4,90,70
Belize,2003,63.5,50,50,84.3,60.9,70,N/A,89.2,66.8,50,50
Benin,2003,54.9,30,30,52.3,87.9,55,N/A,77.8,61,50,50
Bhutan,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bolivia,2003,64.3,30,20,88.6,73,55,N/A,85.2,66.8,90,70
Bosnia and Herzegovina,2003,40.6,10,10,66.1,3.2,40,N/A,77.9,78.2,30,50
Botswana,2003,68.6,70,60,69.4,46.8,85,N/A,78,68,70,70
Brazil,2003,63.4,50,40,90.2,82.7,70,N/A,78.6,59,50,50
Bulgaria,2003,57,50,39,72.4,56.7,55,N/A,77.5,62.4,50,50
Burkina Faso,2003,58.9,30,30,77.1,78.1,55,N/A,78.8,61,70,50
Burma,2003,44.9,10,10,81.9,98.7,40,N/A,54.3,69,10,30
Burundi,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cambodia,2003,63.7,30,30,91.3,92.5,55,N/A,86.5,68,50,70
Cameroon,2003,52.7,30,20,50.2,90.9,55,N/A,80.4,48.2,50,50
Canada,2003,74.8,90,89,72.7,47.8,85,N/A,85,83.4,50,70
Cape Verde,2003,56.1,50,30,64.2,36.5,85,N/A,81.1,58.4,50,50
Central African Republic,2003,60,50,30,65.4,92.7,55,N/A,78.7,48.2,70,50
Chad,2003,52.6,30,10,46,87.6,55,N/A,76.6,48.2,50,70
Chile,2003,76,90,75,75,81.8,70,N/A,83,69,70,70
China,2003,52.6,30,35,66.9,90.2,55,N/A,85.8,50.6,30,30
Colombia,2003,64.2,30,38,72.5,87.6,70,N/A,76.5,63,70,70
Comoros,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Costa Rica ,2003,67,50,45,83.2,83.6,70,N/A,74,77.6,70,50
C̫te d'Ivoire ,2003,56.7,30,24,52.4,90.2,55,N/A,78.1,61,50,70
Croatia,2003,53.3,30,39,77.6,28.6,55,N/A,76.3,72.8,50,50
Cuba,2003,35.1,10,10,50.9,18.3,55,N/A,68.3,63.8,30,10
Cyprus,2003,73.3,90,70,70.7,59.8,85,N/A,85,79.4,50,70
Czech Republic,2003,67.5,70,39,67.2,45.6,70,N/A,81.9,73.6,70,90
Democratic Republic of Congo,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Denmark,2003,73.2,90,95,32.6,9.9,100,N/A,89.9,81.4,70,90
Djibouti,2003,55.7,30,30,80.1,67.9,55,N/A,87,51,50,50
Dominica,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dominican Republic,2003,57.8,30,31,85.3,93.5,55,N/A,71.7,53.4,50,50
Ecuador,2003,54.1,30,23,86.3,85.7,55,N/A,43.8,62.8,50,50
Egypt,2003,55.3,50,36,66.1,72.8,55,N/A,80.1,57.6,50,30
El Salvador ,2003,71.5,50,36,83.7,93.1,85,N/A,83.8,72,70,70
Equatorial Guinea,2003,53.1,30,10,89.7,96.7,55,N/A,68.2,48.2,50,30
Eritrea,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Estonia,2003,77.7,70,56,80.4,58.3,85,N/A,85.7,84.2,90,90
Ethiopia,2003,48.8,30,32,69.9,67.1,55,N/A,76.5,48.8,30,30
Fiji,2003,54.7,30,30,75.4,74.4,70,N/A,78.5,33.8,30,70
Finland,2003,73.7,90,99,54.9,28,85,N/A,84.7,81.4,70,70
France,2003,59.2,70,67,41.3,15.7,70,N/A,87,81.4,50,50
Gabon,2003,58.7,50,50,56.4,85.7,55,N/A,82.6,48.2,50,50
Georgia,2003,58.6,30,23,90.6,88.9,55,N/A,74.8,64.8,50,50
Germany,2003,69.7,90,74,55.7,30,70,N/A,86.6,81.4,90,50
Ghana,2003,58.2,50,34,74.5,77,70,N/A,55.8,62.6,50,50
Greece,2003,58.8,50,42,57.2,50.3,70,N/A,78.5,81.4,50,50
Guatemala ,2003,62.3,30,29,79.8,95.5,55,N/A,78.3,73.4,50,70
Guinea,2003,54.6,30,25,71.2,91.6,55,N/A,79.9,19,50,70
Guinea-Bissau,2003,43.1,10,10,82.5,47.3,40,N/A,77.2,61,50,10
Guyana,2003,50.3,50,30,60.3,7.9,55,N/A,82.4,66.8,50,50
Haiti,2003,50.6,10,10,78.4,96.7,40,N/A,66.7,73.2,30,50
Honduras ,2003,60.4,50,27,84.8,83.6,55,N/A,74.8,68.4,50,50
Hong Kong,2003,89.8,90,79,93.6,90.2,100,N/A,85.5,90,90,90
Hungary ,2003,63,70,53,65.6,22.3,70,N/A,70.6,76,70,70
Iceland,2003,73.5,90,92,69,43,85,N/A,84.7,77.8,70,50
India,2003,51.2,50,27,76.6,71.9,55,N/A,77.6,23,50,30
Indonesia,2003,55.8,30,19,77.5,91.1,55,N/A,74.6,74.6,50,30
Iran,2003,43.2,10,10,64.2,89.6,40,N/A,62.3,72.8,30,10
Iraq,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ireland,2003,80.9,90,75,69.4,66.3,85,N/A,81.2,81.4,90,90
Israel,2003,62.7,70,76,52.7,10.9,70,N/A,87.3,77,70,50
Italy,2003,64.3,70,55,48,29.4,70,N/A,84.7,81.4,70,70
Jamaica ,2003,67,50,38,75.6,65.3,70,N/A,78,65.8,90,70
Japan,2003,67.6,70,71,70.3,56.7,70,N/A,89.8,81,50,50
Jordan,2003,65.3,50,49,78.9,64.9,70,N/A,87.4,47.2,70,70
Kazakhstan,2003,52.3,30,27,77.9,85.2,55,N/A,70.4,65,30,30
Kenya,2003,58.6,50,20,78.1,85.2,55,N/A,78.6,60.2,50,50
Kiribati,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kuwait,2003,66.7,70,70,99.9,48.8,70,N/A,81.6,80.2,30,50
Kyrgyz Republic ,2003,56.8,30,22,76.5,90.3,55,N/A,67.6,69.4,50,50
Laos,2003,41,10,10,70.6,87.9,40,N/A,55,55.6,30,10
Latvia,2003,66,50,34,78.3,58,70,N/A,84.9,78.6,70,70
Lebanon,2003,56.7,30,10,92.4,65.1,55,N/A,91.3,46.8,50,70
Lesotho,2003,52,50,30,66.2,25.3,55,N/A,73.4,68,50,50
Liberia,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Libya,2003,34.6,10,10,53,72.1,40,N/A,64.1,42.4,10,10
Liechtenstein,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lithuania,2003,69.7,50,48,78.8,71.5,70,N/A,88.1,80.4,70,70
Luxembourg,2003,79.9,90,87,59.8,51.5,85,N/A,84.7,81.4,90,90
Macau,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Macedonia,2003,60.1,30,33,80.3,85.7,55,N/A,80.9,56,50,70
Madagascar,2003,62.8,50,30,74.2,90.2,70,N/A,76.6,74.6,50,50
Malawi,2003,53.2,50,32,72.6,70,55,N/A,57.5,62,50,30
Malaysia ,2003,61.1,50,50,81.8,82.9,70,N/A,82.1,73,30,30
Maldives,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mali,2003,58.6,50,10,70.1,83,70,N/A,83.7,61,50,50
Malta,2003,61.1,90,30,63.5,36.8,85,N/A,79.8,65,50,50
Mauritania,2003,59,30,30,61.3,72.5,55,N/A,76.9,65,70,70
Mauritius,2003,64.4,70,45,84.9,81.5,70,N/A,70.5,37.4,50,70
Mexico,2003,65.3,50,37,68.3,84.7,70,N/A,77,81,50,70
Micronesia,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Moldova,2003,60,50,31,81.3,78.6,55,N/A,63.4,80.4,50,50
Mongolia,2003,57.7,50,43,61.8,50.8,55,N/A,83.7,75,50,50
Montenegro,2003,43.5,30,10,79.8,89.2,40,N/A,34.2,68.4,10,30
Morocco,2003,57.8,30,47,62.5,67.9,70,N/A,88.9,33.4,70,50
Mozambique ,2003,58.6,30,22,82.4,77.6,55,N/A,70.6,50.2,70,70
Namibia,2003,67.3,70,54,65.7,62,70,N/A,75.8,68,70,70
Nepal,2003,51.5,30,10,88.8,90.9,55,N/A,79.4,49.6,30,30
New Zealand,2003,81.1,90,94,62.4,53,85,N/A,85.3,80.4,90,90
Nicaragua ,2003,62.6,30,24,81.8,82.3,55,N/A,71.3,79.2,70,70
Niger,2003,54.2,30,10,61,92.1,55,N/A,78.7,61,50,50
Nigeria,2003,49.5,30,10,84.2,75.8,55,N/A,65.4,45,50,30
North Korea,2003,8.9,10,10,0,0,40,N/A,0,0,10,10
Norway,2003,67.2,90,86,50.9,41.4,70,N/A,84.1,82.8,50,50
Oman,2003,64.6,50,70,98.5,33.7,70,N/A,83.8,75.6,50,50
Pakistan ,2003,55,30,23,65.8,83.9,70,N/A,78.1,44.2,50,50
Panama ,2003,68.4,30,37,81.1,78.3,70,N/A,89.9,69.4,70,90
Papua New Guinea,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Paraguay ,2003,58.2,30,20,89.8,92.8,55,N/A,72.5,64,50,50
Peru,2003,64.6,30,41,81.6,88.8,55,N/A,84.8,59.8,70,70
Poland,2003,61.8,70,41,65.6,46.1,70,N/A,73.5,70.2,50,70
Portugal,2003,64.9,70,63,61.8,35.7,70,N/A,82.6,81.4,70,50
Qatar,2003,65.9,50,70,87.5,70.2,55,N/A,87.1,73,50,50
Republic of Congo ,2003,47.7,30,10,58.8,80.5,55,N/A,86.7,48.2,30,30
Romania,2003,50.6,30,28,69.1,62.4,55,N/A,50.8,60.2,50,50
Russia,2003,50.8,30,23,90.6,64.5,55,N/A,57,57.4,50,30
Rwanda,2003,47.8,30,10,67,89.5,40,N/A,79.3,34,30,50
Saint Lucia,2003,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
